Time(s),CH1V,CH2V
5.980000e-02,-9.733333e-03,-9.864000e-02
6.000000e-02,4.400000e-03,-7.072000e-02
6.020000e-02,-5.933333e-03,5.173333e-03
6.040000e-02,5.466667e-03,3.573333e-03
6.060000e-02,-6.066667e-03,2.568000e-02
6.080000e-02,-7.733333e-03,3.266667e-02
6.100000e-02,4.933333e-03,1.154667e-02
6.120000e-02,-6.733333e-03,9.200000e-03
6.140000e-02,5.466667e-03,2.440000e-02
6.160000e-02,7.800000e-03,1.544000e-02
6.180000e-02,-7.266667e-03,2.453333e-03
6.200000e-02,6.000000e-03,-2.053333e-03
6.220000e-02,-6.200000e-03,3.544000e-02
6.240000e-02,5.466667e-03,3.672000e-02
6.260000e-02,-8.000000e-03,4.853333e-03
6.280000e-02,-6.066667e-03,8.800000e-03
6.300000e-02,1.140000e-02,-5.845333e-02
6.320000e-02,-7.133333e-03,-5.661333e-02
6.340000e-02,5.466667e-03,-7.506666e-02
6.360000e-02,-6.466667e-03,-6.872000e-02
6.380000e-02,6.000000e-03,-3.789333e-02
6.400000e-02,3.733333e-03,-4.480000e-02
6.420000e-02,-5.800000e-03,-2.296000e-02
6.440000e-02,-8.533333e-03,-2.797333e-02
6.460000e-02,6.533334e-03,4.240000e-03
6.480000e-02,-5.400000e-03,2.160000e-03
6.500000e-02,8.466667e-03,-1.514667e-02
6.520000e-02,5.733334e-03,-1.442667e-02
6.540000e-02,-6.866667e-03,1.192000e-02
6.560000e-02,-6.333333e-03,1.002667e-02
6.580000e-02,8.333334e-03,5.256000e-02
6.600000e-02,-6.466667e-03,6.053333e-02
6.620000e-02,6.000000e-03,2.848000e-02
6.640000e-02,6.800000e-03,3.053333e-02
6.660000e-02,-5.400000e-03,-4.453333e-03
6.680000e-02,-7.533333e-03,-2.560000e-03
6.700000e-02,4.400000e-03,-4.192000e-02
6.720000e-02,-7.733333e-03,-3.880000e-02
6.740000e-02,6.000000e-03,-6.080000e-02
6.760000e-02,5.066667e-03,-5.992000e-02
6.780000e-02,-5.933333e-03,-3.317333e-02
6.800000e-02,4.666667e-03,-3.544000e-02
6.820000e-02,-7.533333e-03,-2.797333e-02
6.840000e-02,5.733334e-03,-3.058667e-02
6.860000e-02,-7.866667e-03,-5.266667e-02
6.880000e-02,5.600000e-03,-4.714667e-02
6.900000e-02,-1.040000e-02,-4.346667e-03
6.920000e-02,-1.066667e-02,-8.533333e-03
6.940000e-02,6.533334e-03,3.021333e-02
6.960000e-02,-6.866667e-03,2.802667e-02
6.980000e-02,6.666667e-03,5.482667e-02
7.000000e-02,-6.600000e-03,5.176000e-02
7.020000e-02,4.800000e-03,3.621333e-02
