Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774254940.9843793,296.860,-9999.000000,22.018358,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.0547454,296.930,-9999.000000,22.018358,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.1161404,296.992,-9999.000000,22.017971,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.1845999,297.060,-9999.000000,22.016028,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.2446384,297.120,-9999.000000,22.012923,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.3040237,297.180,-9999.000000,22.017580,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.3743694,297.250,-9999.000000,22.017971,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.4359179,297.311,-9999.000000,22.018358,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.4857883,297.361,-9999.000000,22.016418,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.544839,297.420,-9999.000000,22.013701,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.6139572,297.490,-9999.000000,22.012148,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.6774242,297.553,-9999.000000,22.012148,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.7360356,297.612,-9999.000000,22.016806,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.806876,297.682,-9999.000000,22.017580,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.8638084,297.739,-9999.000000,22.012148,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.9347532,297.810,-9999.000000,22.014088,26.0,100.0000,LOW,0.2,0.005,0.0
1774254941.990178,297.866,-9999.000000,22.016806,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.047143,297.923,-9999.000000,22.011758,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.1136503,297.989,-9999.000000,22.011758,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.1744573,298.050,-9999.000000,22.014863,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.238117,298.114,-9999.000000,22.016806,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.3039424,298.180,-9999.000000,22.015641,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.3663743,298.242,-9999.000000,22.013310,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.424466,298.300,-9999.000000,22.010983,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.4868104,298.362,-9999.000000,22.016028,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.5576668,298.433,-9999.000000,22.012536,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.6142902,298.490,-9999.000000,22.010206,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.6849563,298.561,-9999.000000,22.015641,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.744641,298.620,-9999.000000,22.014863,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.8149498,298.691,-9999.000000,22.010593,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.877462,298.753,-9999.000000,22.009431,26.0,100.0000,LOW,0.2,0.005,0.0
1774254942.9449236,298.820,-9999.000000,22.010593,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.0043664,298.880,-9999.000000,22.013701,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.0760343,298.952,-9999.000000,22.013701,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.1300755,299.006,-9999.000000,22.009431,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.2048604,299.080,-9999.000000,22.015253,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.264283,299.140,-9999.000000,22.011758,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.333705,299.209,-9999.000000,22.009818,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.3943708,299.270,-9999.000000,22.009041,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.4557884,299.331,-9999.000000,22.010983,26.0,100.0000,LOW,0.2,0.005,0.0
1774254943.5244477,299.400,-9999.000000,22.014863,26.0,100.0000,LOW,0.2,0.005,0.0
