Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Ambient_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774496979.2753417,55.631,-9999.000000,29.718162,22.350448,30.0,59.1204,LOW,0.2,0.005,0.0
1774496979.3937018,55.749,-9999.000000,29.718573,22.352390,30.0,59.1200,LOW,0.2,0.005,0.0
1774496979.5135539,55.869,-9999.000000,29.719807,22.353169,30.0,59.1086,LOW,0.2,0.005,0.0
1774496979.6278315,55.983,-9999.000000,29.719807,22.355890,30.0,59.1122,LOW,0.2,0.005,0.0
1774496979.7625663,56.118,-9999.000000,29.722686,22.358999,30.0,59.0592,LOW,0.2,0.005,0.0
1774496979.8963714,56.252,-9999.000000,29.723920,22.361332,30.0,59.0424,LOW,0.2,0.005,0.0
1774496980.0201833,56.376,-9999.000000,29.724744,22.360941,30.0,59.0447,LOW,0.2,0.005,0.0
1774496980.1408916,56.496,-9999.000000,29.725565,22.361720,30.0,59.0413,LOW,0.2,0.005,0.0
1774496980.255413,56.611,-9999.000000,29.725975,22.362496,30.0,59.0453,LOW,0.2,0.005,0.0
1774496980.3757787,56.731,-9999.000000,29.727210,22.364050,30.0,59.0300,LOW,0.2,0.005,0.0
1774496980.4945996,56.850,-9999.000000,29.730913,22.366772,30.0,58.9595,LOW,0.2,0.005,0.0
1774496980.606066,56.962,-9999.000000,29.728854,22.368717,30.0,59.0070,LOW,0.2,0.005,0.0
1774496980.7190435,57.075,-9999.000000,29.729265,22.368717,30.0,59.0140,LOW,0.2,0.005,0.0
1774496980.8225548,57.178,-9999.000000,29.702539,22.371047,30.0,59.5534,LOW,0.2,0.005,0.0
1774496980.9296353,57.285,-9999.000000,29.731323,22.372993,30.0,58.9832,LOW,0.2,0.005,0.0
1774496981.0377355,57.393,-9999.000000,29.708706,22.374547,30.0,59.4442,LOW,0.2,0.005,0.0
1774496981.1835315,57.539,-9999.000000,29.743251,22.377269,30.0,58.7597,LOW,0.2,0.005,0.0
1774496981.3260858,57.682,-9999.000000,29.734613,22.379987,30.0,58.9390,LOW,0.2,0.005,0.0
1774496981.448385,57.804,-9999.000000,29.736668,22.381932,30.0,58.9052,LOW,0.2,0.005,0.0
1774496981.5648847,57.920,-9999.000000,29.736258,22.383487,30.0,58.9217,LOW,0.2,0.005,0.0
1774496981.6855824,58.041,-9999.000000,29.737492,22.385818,30.0,58.9022,LOW,0.2,0.005,0.0
1774496981.8069544,58.162,-9999.000000,29.738726,22.387763,30.0,58.8846,LOW,0.2,0.005,0.0
1774496981.9289527,58.284,-9999.000000,29.739137,22.390873,30.0,58.8781,LOW,0.2,0.005,0.0
1774496982.038082,58.394,-9999.000000,29.739137,22.392815,30.0,58.8835,LOW,0.2,0.005,0.0
1774496982.1955464,58.551,-9999.000000,29.739958,22.393206,30.0,58.8858,LOW,0.2,0.005,0.0
1774496982.347694,58.703,-9999.000000,29.739958,22.399425,30.0,58.8773,LOW,0.2,0.005,0.0
1774496982.46611,58.822,-9999.000000,29.741606,22.399425,30.0,58.8597,LOW,0.2,0.005,0.0
1774496982.5781891,58.934,-9999.000000,29.740782,22.404477,30.0,58.8677,LOW,0.2,0.005,0.0
1774496982.7517986,59.107,-9999.000000,29.742427,22.407199,30.0,58.8448,LOW,0.2,0.005,0.0
1774496982.8836036,59.239,-9999.000000,29.749421,22.409533,30.0,58.7108,LOW,0.2,0.005,0.0
1774496983.0001066,59.356,-9999.000000,29.744072,22.408754,30.0,58.8362,LOW,0.2,0.005,0.0
1774496983.1191208,59.475,-9999.000000,29.746131,22.413421,30.0,58.7890,LOW,0.2,0.005,0.0
1774496983.2646515,59.620,-9999.000000,29.745717,22.415752,30.0,58.8051,LOW,0.2,0.005,0.0
1774496983.3893259,59.745,-9999.000000,29.745717,22.418474,30.0,58.8086,LOW,0.2,0.005,0.0
1774496983.5026188,59.858,-9999.000000,29.753946,22.419641,30.0,58.6527,LOW,0.2,0.005,0.0
1774496983.6240141,59.979,-9999.000000,29.756826,22.422362,30.0,58.5975,LOW,0.2,0.005,0.0
1774496983.7366931,60.092,-9999.000000,29.744482,22.423917,30.0,58.8517,LOW,0.2,0.005,0.0
1774496983.847541,60.203,-9999.000000,29.747776,22.425472,30.0,58.7927,LOW,0.2,0.005,0.0
1774496983.9589946,60.314,-9999.000000,29.752711,22.428582,30.0,58.6936,LOW,0.2,0.005,0.0
1774496984.0669346,60.422,-9999.000000,29.749421,22.428970,30.0,58.7712,LOW,0.2,0.005,0.0
1774496984.1749988,60.530,-9999.000000,29.748186,22.431304,30.0,58.7989,LOW,0.2,0.005,0.0
1774496984.278671,60.634,-9999.000000,29.751476,22.433247,30.0,58.7371,LOW,0.2,0.005,0.0
1774496984.385286,60.741,-9999.000000,29.749007,22.434414,30.0,58.7946,LOW,0.2,0.005,0.0
1774496984.4947443,60.850,-9999.000000,29.749831,22.437524,30.0,58.7777,LOW,0.2,0.005,0.0
1774496984.6073277,60.963,-9999.000000,29.749831,22.439079,30.0,58.7847,LOW,0.2,0.005,0.0
